IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
131.186.47.255,80,80,false,NRT,Asia Pacific,Tokyo,104,12.55
141.147.167.44,2052,2052,false,NRT,Asia Pacific,Tokyo,110,12.54
155.248.166.141,2082,2082,false,NRT,Asia Pacific,Tokyo,99,12.52
132.145.124.198,2082,2082,false,NRT,Asia Pacific,Tokyo,115,12.51
155.248.176.98,2087,2087,true,NRT,Asia Pacific,Tokyo,113,12.50
168.138.211.217,2096,2096,true,NRT,Asia Pacific,Tokyo,89,12.50
132.145.126.21,2082,2082,false,NRT,Asia Pacific,Tokyo,100,12.50
131.186.59.94,2087,2087,true,NRT,Asia Pacific,Tokyo,119,12.49
132.145.120.118,2087,2087,true,NRT,Asia Pacific,Tokyo,78,12.49
138.2.177.123,443,443,true,AMS,Europe,Amsterdam,219,12.49
131.186.37.191,2083,2083,true,NRT,Asia Pacific,Tokyo,77,12.48
168.138.217.146,2083,2083,true,NRT,Asia Pacific,Tokyo,98,12.46
158.179.186.234,8443,8443,true,NRT,Asia Pacific,Tokyo,109,12.46
151.145.75.28,80,80,false,NRT,Asia Pacific,Tokyo,97,12.46
155.248.169.71,80,80,false,NRT,Asia Pacific,Tokyo,98,12.46
150.230.104.197,2083,2083,true,NRT,Asia Pacific,Tokyo,120,12.45
141.147.175.230,8443,8443,true,NRT,Asia Pacific,Tokyo,134,12.45
158.179.183.2,2095,2095,false,NRT,Asia Pacific,Tokyo,100,12.43
158.101.88.214,8080,8080,false,NRT,Asia Pacific,Tokyo,75,12.43
132.145.120.182,2087,2087,true,NRT,Asia Pacific,Tokyo,136,12.42
141.147.178.115,2086,2086,false,NRT,Asia Pacific,Tokyo,105,12.42
150.230.106.21,80,80,false,NRT,Asia Pacific,Tokyo,100,12.40
158.179.186.138,2086,2086,false,NRT,Asia Pacific,Tokyo,78,12.39
150.230.108.135,2087,2087,true,NRT,Asia Pacific,Tokyo,111,12.39
158.101.69.12,2053,2053,true,NRT,Asia Pacific,Tokyo,79,12.39
151.145.71.40,80,80,false,NRT,Asia Pacific,Tokyo,100,12.39
132.145.124.198,80,80,false,NRT,Asia Pacific,Tokyo,81,12.38
131.186.38.135,2095,2095,false,NRT,Asia Pacific,Tokyo,104,12.38
168.138.200.159,8880,8880,false,NRT,Asia Pacific,Tokyo,79,12.38
132.145.117.216,2086,2086,false,NRT,Asia Pacific,Tokyo,79,12.37
158.101.81.4,8880,8880,false,NRT,Asia Pacific,Tokyo,99,12.37
150.230.108.135,2053,2053,true,NRT,Asia Pacific,Tokyo,103,12.36
168.138.205.195,2095,2095,false,NRT,Asia Pacific,Tokyo,102,12.36
150.230.106.21,2083,2083,true,NRT,Asia Pacific,Tokyo,101,12.35
132.145.117.216,8880,8880,false,NRT,Asia Pacific,Tokyo,110,12.34
155.248.169.71,2082,2082,false,NRT,Asia Pacific,Tokyo,102,12.34
150.230.208.83,2095,2095,false,NRT,Asia Pacific,Tokyo,75,12.34
155.248.182.244,2095,2095,false,NRT,Asia Pacific,Tokyo,113,12.34
158.179.188.7,2082,2082,false,NRT,Asia Pacific,Tokyo,97,12.32
151.145.69.174,80,80,false,NRT,Asia Pacific,Tokyo,120,12.31
155.248.177.210,80,80,false,NRT,Asia Pacific,Tokyo,99,12.31
155.248.187.37,8080,8080,false,NRT,Asia Pacific,Tokyo,79,12.30
141.147.186.227,443,443,true,NRT,Asia Pacific,Tokyo,103,12.29
141.147.174.190,2096,2096,true,NRT,Asia Pacific,Tokyo,102,12.29
158.179.186.234,2053,2053,true,NRT,Asia Pacific,Tokyo,111,12.29
131.186.46.75,2083,2083,true,NRT,Asia Pacific,Tokyo,106,12.29
138.2.29.250,2096,2096,true,NRT,Asia Pacific,Tokyo,163,12.29
141.147.35.185,443,443,true,FRA,Europe,Frankfurt,154,12.29
155.248.162.160,2053,2053,true,NRT,Asia Pacific,Tokyo,100,12.28
150.230.220.232,8443,8443,true,NRT,Asia Pacific,Tokyo,111,12.28
158.179.189.235,8880,8880,false,NRT,Asia Pacific,Tokyo,100,12.27
132.145.123.159,2052,2052,false,NRT,Asia Pacific,Tokyo,116,12.24
132.145.114.4,80,80,false,NRT,Asia Pacific,Tokyo,101,12.24
158.179.178.145,2052,2052,false,NRT,Asia Pacific,Tokyo,75,12.24
132.145.121.247,8880,8880,false,NRT,Asia Pacific,Tokyo,114,12.21
168.138.195.31,8880,8880,false,NRT,Asia Pacific,Tokyo,101,12.21
132.145.120.115,8880,8880,false,NRT,Asia Pacific,Tokyo,100,12.19
141.147.61.116,8443,443,true,FRA,Europe,Frankfurt,165,12.19
155.248.176.28,2082,2082,false,NRT,Asia Pacific,Tokyo,102,12.19
151.145.65.8,2087,2087,true,NRT,Asia Pacific,Tokyo,117,12.18
132.145.8.124,443,443,true,FRA,Europe,Frankfurt,182,12.17
141.147.167.44,2086,2086,false,NRT,Asia Pacific,Tokyo,106,12.17
155.248.176.68,2096,2096,true,NRT,Asia Pacific,Tokyo,104,12.15
131.186.40.31,80,80,false,HKG,Asia Pacific,Hong Kong,152,12.15
129.159.192.86,443,443,true,FRA,Europe,Frankfurt,179,12.15
132.145.112.168,8880,8880,false,NRT,Asia Pacific,Tokyo,104,12.14
150.230.212.213,2087,2087,true,NRT,Asia Pacific,Tokyo,110,12.14
132.145.121.242,2053,2053,true,HKG,Asia Pacific,Hong Kong,136,12.13
155.248.160.83,80,80,false,NRT,Asia Pacific,Tokyo,87,12.13
151.145.66.219,8880,8880,false,NRT,Asia Pacific,Tokyo,114,12.13
132.145.112.247,2082,2082,false,NRT,Asia Pacific,Tokyo,75,12.12
151.145.71.40,8880,8880,false,NRT,Asia Pacific,Tokyo,101,12.11
141.147.164.54,80,80,false,NRT,Asia Pacific,Tokyo,77,12.10
138.2.15.8,8880,8880,false,NRT,Asia Pacific,Tokyo,105,12.10
168.138.211.131,2095,2095,false,NRT,Asia Pacific,Tokyo,99,12.10
155.248.177.210,2052,2052,false,NRT,Asia Pacific,Tokyo,101,12.10
155.248.166.141,8443,8443,true,NRT,Asia Pacific,Tokyo,98,12.07
168.138.212.184,80,80,false,NRT,Asia Pacific,Tokyo,100,12.06
158.101.81.4,2095,2095,false,NRT,Asia Pacific,Tokyo,100,12.05
138.2.14.164,8080,8080,false,NRT,Asia Pacific,Tokyo,75,12.05
158.101.89.33,8080,8080,false,NRT,Asia Pacific,Tokyo,81,12.03
158.101.94.15,8080,8080,false,NRT,Asia Pacific,Tokyo,94,12.02
155.248.179.132,2086,2086,false,NRT,Asia Pacific,Tokyo,101,12.02
131.186.47.255,8443,8443,true,NRT,Asia Pacific,Tokyo,82,12.02
141.147.181.148,2053,2053,true,NRT,Asia Pacific,Tokyo,118,11.99
138.2.24.114,2086,2086,false,NRT,Asia Pacific,Tokyo,80,11.99
141.147.183.96,2086,2086,false,NRT,Asia Pacific,Tokyo,115,11.98
131.186.61.45,2082,2082,false,NRT,Asia Pacific,Tokyo,100,11.98
150.230.208.113,80,80,false,NRT,Asia Pacific,Tokyo,99,11.97
158.179.186.251,2052,2052,false,NRT,Asia Pacific,Tokyo,75,11.96
132.145.233.143,443,443,true,FRA,Europe,Frankfurt,153,11.94
141.147.191.211,2052,2052,false,NRT,Asia Pacific,Tokyo,75,11.93
158.101.81.4,80,80,false,NRT,Asia Pacific,Tokyo,103,11.93
158.179.188.7,8443,8443,true,NRT,Asia Pacific,Tokyo,103,11.92
155.248.160.116,2082,2082,false,NRT,Asia Pacific,Tokyo,77,11.90
131.186.63.127,2053,2053,true,NRT,Asia Pacific,Tokyo,113,11.90
150.230.101.13,2053,2053,true,NRT,Asia Pacific,Tokyo,115,11.90
150.230.212.213,2083,2083,true,NRT,Asia Pacific,Tokyo,194,11.89
151.145.70.28,2086,2086,false,NRT,Asia Pacific,Tokyo,114,11.88
168.138.197.222,2083,2083,true,NRT,Asia Pacific,Tokyo,75,11.87
158.101.88.214,2086,2086,false,NRT,Asia Pacific,Tokyo,105,11.87
132.145.125.165,2095,2095,false,NRT,Asia Pacific,Tokyo,98,11.85
158.101.94.15,2052,2052,false,NRT,Asia Pacific,Tokyo,79,11.85
131.186.45.88,2095,2095,false,NRT,Asia Pacific,Tokyo,114,11.84
158.179.180.233,2095,2095,false,NRT,Asia Pacific,Tokyo,97,11.83
158.179.186.251,2086,2086,false,NRT,Asia Pacific,Tokyo,98,11.82
168.138.214.62,2083,2083,true,NRT,Asia Pacific,Tokyo,84,11.81
150.230.208.83,8080,8080,false,NRT,Asia Pacific,Tokyo,102,11.80
158.179.189.106,2095,2095,false,NRT,Asia Pacific,Tokyo,101,11.80
150.230.98.39,2087,2087,true,NRT,Asia Pacific,Tokyo,113,11.79
168.138.198.202,2052,2052,false,NRT,Asia Pacific,Tokyo,99,11.79
158.179.176.239,2087,2087,true,NRT,Asia Pacific,Tokyo,106,11.78
158.179.189.106,80,80,false,NRT,Asia Pacific,Tokyo,76,11.77
141.147.167.40,2052,2052,false,NRT,Asia Pacific,Tokyo,103,11.76
151.145.68.166,8880,8880,false,NRT,Asia Pacific,Tokyo,79,11.76
132.145.121.175,80,80,false,NRT,Asia Pacific,Tokyo,102,11.75
158.101.88.214,80,80,false,NRT,Asia Pacific,Tokyo,95,11.73
141.144.200.204,443,443,true,FRA,Europe,Frankfurt,184,11.73
155.248.162.160,80,80,false,NRT,Asia Pacific,Tokyo,104,11.71
141.147.175.230,2082,2082,false,NRT,Asia Pacific,Tokyo,113,11.71
132.145.121.34,2083,2083,true,NRT,Asia Pacific,Tokyo,104,11.71
132.145.124.198,2086,2086,false,NRT,Asia Pacific,Tokyo,102,11.70
155.248.167.70,2086,2086,false,NRT,Asia Pacific,Tokyo,103,11.70
130.162.62.180,443,443,true,CDG,Europe,Paris,177,11.68
168.138.215.188,2082,2082,false,NRT,Asia Pacific,Tokyo,104,11.68
168.138.215.188,2086,2086,false,NRT,Asia Pacific,Tokyo,89,11.68
131.186.63.184,8443,8443,true,NRT,Asia Pacific,Tokyo,121,11.66
131.186.35.189,8443,8443,true,NRT,Asia Pacific,Tokyo,109,11.66
158.179.188.159,2096,2096,true,NRT,Asia Pacific,Tokyo,80,11.66
158.179.183.2,8880,8880,false,NRT,Asia Pacific,Tokyo,101,11.64
155.248.182.244,2087,2087,true,NRT,Asia Pacific,Tokyo,75,11.63
141.147.164.123,2082,2082,false,NRT,Asia Pacific,Tokyo,102,11.62
132.145.127.51,80,80,false,NRT,Asia Pacific,Tokyo,98,11.61
143.47.181.195,443,443,true,FRA,Europe,Frankfurt,185,11.60
150.230.106.21,2096,2096,true,NRT,Asia Pacific,Tokyo,82,11.60
155.248.180.103,2087,2087,true,NRT,Asia Pacific,Tokyo,96,11.60
155.248.169.71,8443,8443,true,NRT,Asia Pacific,Tokyo,77,11.60
150.230.107.197,2083,2083,true,NRT,Asia Pacific,Tokyo,80,11.60
141.147.178.202,80,80,false,NRT,Asia Pacific,Tokyo,112,11.59
155.248.186.182,2082,2082,false,NRT,Asia Pacific,Tokyo,81,11.57
141.148.246.62,443,443,true,FRA,Europe,Frankfurt,185,11.56
131.186.45.88,2086,2086,false,NRT,Asia Pacific,Tokyo,111,11.56
151.145.65.8,80,80,false,NRT,Asia Pacific,Tokyo,77,11.56
155.248.166.39,2096,2096,true,NRT,Asia Pacific,Tokyo,106,11.56
151.145.70.28,2087,2087,true,NRT,Asia Pacific,Tokyo,102,11.56
155.248.165.169,8880,8880,false,NRT,Asia Pacific,Tokyo,99,11.55
138.2.20.48,80,80,false,NRT,Asia Pacific,Tokyo,103,11.55
132.145.122.95,2083,2083,true,NRT,Asia Pacific,Tokyo,125,11.55
132.145.123.14,2083,2083,true,NRT,Asia Pacific,Tokyo,83,11.55
140.83.37.145,2083,2083,true,NRT,Asia Pacific,Tokyo,100,11.53
131.186.43.207,2052,2052,false,NRT,Asia Pacific,Tokyo,100,11.52
168.138.192.185,2086,2086,false,NRT,Asia Pacific,Tokyo,78,11.51
152.67.138.189,443,443,true,EWR,North America,Newark,160,11.51
131.186.41.255,8880,8880,false,NRT,Asia Pacific,Tokyo,107,11.50
132.145.122.95,2053,2053,true,NRT,Asia Pacific,Tokyo,104,11.50
151.145.71.127,2083,2083,true,NRT,Asia Pacific,Tokyo,102,11.50
141.147.168.13,2082,2082,false,NRT,Asia Pacific,Tokyo,106,11.50
155.248.178.235,2053,2053,true,NRT,Asia Pacific,Tokyo,104,11.49
141.148.240.66,443,443,true,FRA,Europe,Frankfurt,172,11.49
168.138.200.155,8080,8080,false,NRT,Asia Pacific,Tokyo,87,11.49
151.145.66.219,2082,2082,false,NRT,Asia Pacific,Tokyo,115,11.48
168.138.197.222,80,80,false,NRT,Asia Pacific,Tokyo,107,11.48
168.138.200.159,2095,2095,false,NRT,Asia Pacific,Tokyo,101,11.47
168.138.198.53,2053,2053,true,NRT,Asia Pacific,Tokyo,104,11.46
132.145.115.17,8880,8880,false,NRT,Asia Pacific,Tokyo,108,11.46
150.230.216.34,2086,2086,false,NRT,Asia Pacific,Tokyo,105,11.45
89.168.108.214,443,443,true,FRA,Europe,Frankfurt,175,11.44
132.145.125.165,80,80,false,NRT,Asia Pacific,Tokyo,99,11.43
151.145.74.56,8880,8880,false,NRT,Asia Pacific,Tokyo,119,11.42
138.2.18.11,2095,2095,false,NRT,Asia Pacific,Tokyo,86,11.41
144.24.85.158,443,443,true,ICN,Asia Pacific,Seoul,110,11.40
151.145.69.174,8080,8080,false,NRT,Asia Pacific,Tokyo,119,11.40
158.101.94.15,2095,2095,false,NRT,Asia Pacific,Tokyo,99,11.38
168.138.192.185,2096,2096,true,NRT,Asia Pacific,Tokyo,103,11.38
168.138.200.159,8080,8080,false,NRT,Asia Pacific,Tokyo,102,11.37
150.230.97.239,2053,2053,true,NRT,Asia Pacific,Tokyo,86,11.36
132.145.127.21,2052,2052,false,NRT,Asia Pacific,Tokyo,83,11.36
150.230.207.53,8443,8443,true,NRT,Asia Pacific,Tokyo,104,11.36
168.138.217.146,2086,2086,false,NRT,Asia Pacific,Tokyo,104,11.33
168.138.200.155,2082,2082,false,NRT,Asia Pacific,Tokyo,97,11.33
89.168.124.88,443,443,true,FRA,Europe,Frankfurt,169,11.32
138.2.13.133,8080,8080,false,NRT,Asia Pacific,Tokyo,79,11.32
141.147.51.88,443,0,true,FRA,Europe,Frankfurt,182,11.30
150.230.207.53,8080,8080,false,NRT,Asia Pacific,Tokyo,101,11.30
158.179.176.239,8443,8443,true,NRT,Asia Pacific,Tokyo,81,11.29
155.248.166.141,80,80,false,NRT,Asia Pacific,Tokyo,98,11.27
132.145.114.14,2083,2083,true,NRT,Asia Pacific,Tokyo,101,11.25
168.138.196.164,2082,2082,false,HKG,Asia Pacific,Hong Kong,156,11.25
155.248.176.98,80,80,false,NRT,Asia Pacific,Tokyo,99,11.25
84.235.168.103,443,443,true,EWR,North America,Newark,215,11.24
144.24.163.199,443,443,true,FRA,Europe,Frankfurt,169,11.24
155.248.180.103,2095,2095,false,NRT,Asia Pacific,Tokyo,82,11.24
155.248.168.251,2082,2082,false,NRT,Asia Pacific,Tokyo,117,11.23
155.248.178.235,8880,8880,false,NRT,Asia Pacific,Tokyo,101,11.22
141.147.169.131,8880,8880,false,NRT,Asia Pacific,Tokyo,104,11.22
152.70.165.104,443,443,true,FRA,Europe,Frankfurt,179,11.22
155.248.177.210,8080,8080,false,NRT,Asia Pacific,Tokyo,102,11.21
132.145.121.123,2053,2053,true,NRT,Asia Pacific,Tokyo,97,11.21
131.186.37.49,2086,2086,false,NRT,Asia Pacific,Tokyo,81,11.21
155.248.169.71,8080,8080,false,NRT,Asia Pacific,Tokyo,108,11.19
138.2.20.48,2052,2052,false,NRT,Asia Pacific,Tokyo,105,11.18
168.138.198.53,8443,8443,true,NRT,Asia Pacific,Tokyo,98,11.17
131.186.46.75,2082,2082,false,NRT,Asia Pacific,Tokyo,99,11.16
141.148.237.55,443,443,true,EWR,North America,Newark,188,11.15
132.145.120.118,8080,8080,false,NRT,Asia Pacific,Tokyo,101,11.15
141.147.191.211,2095,2095,false,NRT,Asia Pacific,Tokyo,75,11.15
132.145.123.143,2052,2052,false,NRT,Asia Pacific,Tokyo,84,11.14
131.186.62.26,2096,2096,true,NRT,Asia Pacific,Tokyo,103,11.14
130.162.61.18,80,80,false,FRA,Europe,Frankfurt,188,11.13
141.144.206.86,443,443,true,EWR,North America,Newark,184,11.13
132.145.121.34,80,80,false,NRT,Asia Pacific,Tokyo,102,11.13
132.145.121.34,8080,8080,false,NRT,Asia Pacific,Tokyo,102,11.13
132.145.112.168,2083,2083,true,NRT,Asia Pacific,Tokyo,101,11.13
151.145.68.166,2083,2083,true,NRT,Asia Pacific,Tokyo,106,11.11
150.230.122.88,443,443,true,FRA,Europe,Frankfurt,203,11.10
141.144.226.251,443,443,true,EWR,North America,Newark,181,11.10
138.2.31.68,2096,2096,true,HKG,Asia Pacific,Hong Kong,162,11.10
155.248.186.182,8080,8080,false,NRT,Asia Pacific,Tokyo,105,11.09
150.230.98.39,2052,2052,false,NRT,Asia Pacific,Tokyo,99,11.08
131.186.58.151,8080,8080,false,NRT,Asia Pacific,Tokyo,100,11.08
131.186.40.31,2053,2053,true,HKG,Asia Pacific,Hong Kong,159,11.08
141.144.247.174,443,443,true,FRA,Europe,Frankfurt,189,11.08
132.145.120.118,2086,2086,false,NRT,Asia Pacific,Tokyo,89,11.08
89.168.87.132,443,443,true,FRA,Europe,Frankfurt,165,11.08
155.248.176.98,2086,2086,false,NRT,Asia Pacific,Tokyo,102,11.06
141.147.32.124,443,443,true,FRA,Europe,Frankfurt,176,11.06
150.230.101.125,2052,2052,false,NRT,Asia Pacific,Tokyo,86,11.04
132.145.121.175,2087,2087,true,NRT,Asia Pacific,Tokyo,81,11.04
130.162.55.198,443,443,true,FRA,Europe,Frankfurt,175,11.04
155.248.166.141,2086,2086,false,NRT,Asia Pacific,Tokyo,100,11.03
131.186.61.45,2086,2086,false,NRT,Asia Pacific,Tokyo,99,11.03
131.186.41.82,2095,2095,false,NRT,Asia Pacific,Tokyo,88,11.02
158.179.188.175,2087,2087,true,NRT,Asia Pacific,Tokyo,75,11.02
150.230.207.53,2053,2053,true,NRT,Asia Pacific,Tokyo,105,11.02
158.101.95.113,8880,8880,false,NRT,Asia Pacific,Tokyo,78,11.02
168.138.206.68,2053,2053,true,NRT,Asia Pacific,Tokyo,96,11.02
158.179.190.253,2086,2086,false,NRT,Asia Pacific,Tokyo,95,11.01
158.179.186.251,2096,2096,true,NRT,Asia Pacific,Tokyo,107,11.00
155.248.168.251,8443,8443,true,NRT,Asia Pacific,Tokyo,99,10.99
141.147.168.159,2095,2095,false,NRT,Asia Pacific,Tokyo,103,10.98
155.248.176.98,2095,2095,false,NRT,Asia Pacific,Tokyo,88,10.97
158.179.189.106,2083,2083,true,NRT,Asia Pacific,Tokyo,99,10.95
151.145.68.166,2052,2052,false,NRT,Asia Pacific,Tokyo,102,10.93
158.178.154.94,443,443,true,CDG,Europe,Paris,177,10.93
158.179.182.19,2083,2083,true,NRT,Asia Pacific,Tokyo,86,10.92
168.138.217.146,8443,8443,true,NRT,Asia Pacific,Tokyo,97,10.91
132.145.125.165,2052,2052,false,NRT,Asia Pacific,Tokyo,85,10.90
131.186.41.82,2083,2083,true,NRT,Asia Pacific,Tokyo,107,10.90
168.138.200.155,2087,2087,true,NRT,Asia Pacific,Tokyo,81,10.90
150.230.101.13,2096,2096,true,NRT,Asia Pacific,Tokyo,103,10.89
155.248.182.244,2096,2096,true,NRT,Asia Pacific,Tokyo,98,10.86
150.230.99.173,8880,8880,false,NRT,Asia Pacific,Tokyo,97,10.85
141.147.90.102,443,443,true,FRA,Europe,Frankfurt,172,10.85
150.230.122.84,443,443,true,FRA,Europe,Frankfurt,179,10.85
138.2.104.2,80,80,false,SIN,Asia Pacific,Singapore,21,10.85
155.248.180.103,2086,2086,false,NRT,Asia Pacific,Tokyo,100,10.84
158.101.89.33,2082,2082,false,NRT,Asia Pacific,Tokyo,98,10.84
158.179.186.234,2052,2052,false,NRT,Asia Pacific,Tokyo,104,10.83
131.186.44.38,2052,2052,false,NRT,Asia Pacific,Tokyo,101,10.83
155.248.160.83,2096,2096,true,NRT,Asia Pacific,Tokyo,100,10.83
132.145.120.182,2052,2052,false,NRT,Asia Pacific,Tokyo,143,10.82
151.145.71.40,2082,2082,false,NRT,Asia Pacific,Tokyo,99,10.81
132.145.113.148,2095,2095,false,NRT,Asia Pacific,Tokyo,101,10.80
168.138.211.217,8880,8880,false,NRT,Asia Pacific,Tokyo,97,10.79
131.186.43.107,80,80,false,NRT,Asia Pacific,Tokyo,78,10.79
141.147.191.132,2086,2086,false,NRT,Asia Pacific,Tokyo,79,10.79
155.248.168.251,2083,2083,true,NRT,Asia Pacific,Tokyo,98,10.78
132.145.115.17,8443,8443,true,NRT,Asia Pacific,Tokyo,124,10.78
131.186.35.189,2087,2087,true,NRT,Asia Pacific,Tokyo,105,10.78
155.248.176.68,8443,8443,true,NRT,Asia Pacific,Tokyo,100,10.78
158.101.84.123,2052,2052,false,NRT,Asia Pacific,Tokyo,98,10.77
141.144.198.55,443,443,true,FRA,Europe,Frankfurt,181,10.77
158.179.186.138,2053,2053,true,NRT,Asia Pacific,Tokyo,78,10.75
130.162.251.53,443,443,true,IAD,North America,Ashburn,174,10.75
131.186.60.162,2096,2096,true,NRT,Asia Pacific,Tokyo,102,10.75
132.145.120.118,8443,8443,true,NRT,Asia Pacific,Tokyo,107,10.74
150.230.97.239,2096,2096,true,NRT,Asia Pacific,Tokyo,103,10.73
151.145.68.166,2086,2086,false,NRT,Asia Pacific,Tokyo,114,10.73
168.138.214.62,2095,2095,false,NRT,Asia Pacific,Tokyo,98,10.71
141.147.164.153,2095,2095,false,NRT,Asia Pacific,Tokyo,113,10.71
131.186.34.244,2053,2053,true,NRT,Asia Pacific,Tokyo,106,10.70
168.138.211.188,2095,2095,false,HKG,Asia Pacific,Hong Kong,153,10.70
138.2.24.114,2082,2082,false,NRT,Asia Pacific,Tokyo,101,10.68
138.2.19.122,8880,8880,false,NRT,Asia Pacific,Tokyo,100,10.68
132.145.123.238,2053,2053,true,NRT,Asia Pacific,Tokyo,107,10.67
144.21.32.193,2053,443,true,AMS,Europe,Amsterdam,186,10.67
141.144.200.165,443,443,true,FRA,Europe,Frankfurt,199,10.66
132.145.120.115,2096,2096,true,NRT,Asia Pacific,Tokyo,101,10.66
140.238.54.184,2083,2083,true,NRT,Asia Pacific,Tokyo,119,10.64
150.230.219.83,2052,2052,false,NRT,Asia Pacific,Tokyo,100,10.64
168.138.212.74,8443,8443,true,NRT,Asia Pacific,Tokyo,97,10.63
155.248.185.38,2053,2053,true,NRT,Asia Pacific,Tokyo,101,10.63
131.186.34.244,2095,2095,false,NRT,Asia Pacific,Tokyo,81,10.62
155.248.187.37,2082,2082,false,NRT,Asia Pacific,Tokyo,102,10.62
155.248.174.71,2086,2086,false,NRT,Asia Pacific,Tokyo,77,10.62
138.2.29.250,8080,8080,false,NRT,Asia Pacific,Tokyo,114,10.62
131.186.35.189,8880,8880,false,NRT,Asia Pacific,Tokyo,108,10.62
131.186.46.75,2087,2087,true,NRT,Asia Pacific,Tokyo,116,10.62
131.186.61.45,80,80,false,NRT,Asia Pacific,Tokyo,102,10.61
155.248.187.37,8443,8443,true,NRT,Asia Pacific,Tokyo,85,10.61
193.122.14.158,443,443,true,AMS,Europe,Amsterdam,189,10.59
151.145.71.127,2082,2082,false,NRT,Asia Pacific,Tokyo,115,10.59
151.145.69.174,2087,2087,true,NRT,Asia Pacific,Tokyo,105,10.59
168.138.200.159,2053,2053,true,NRT,Asia Pacific,Tokyo,102,10.58
151.145.71.127,2095,2095,false,NRT,Asia Pacific,Tokyo,101,10.58
150.230.107.94,8080,8080,false,NRT,Asia Pacific,Tokyo,104,10.58
141.147.115.58,443,443,true,FRA,Europe,Frankfurt,182,10.57
155.248.165.169,8443,8443,true,NRT,Asia Pacific,Tokyo,99,10.57
132.145.113.148,80,80,false,NRT,Asia Pacific,Tokyo,103,10.56
158.101.90.190,2082,2082,false,NRT,Asia Pacific,Tokyo,82,10.55
158.179.178.142,8880,8880,false,NRT,Asia Pacific,Tokyo,97,10.55
141.147.169.131,2082,2082,false,NRT,Asia Pacific,Tokyo,104,10.55
168.138.212.40,80,80,false,NRT,Asia Pacific,Tokyo,100,10.55
131.186.41.82,8080,8080,false,NRT,Asia Pacific,Tokyo,101,10.54
