IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.181.148,2082,2082,false,NRT,Asia Pacific,Tokyo,101,11.53
150.230.212.87,2095,2095,false,NRT,Asia Pacific,Tokyo,98,11.52
152.70.107.26,2095,2095,false,NRT,Asia Pacific,Tokyo,75,11.52
152.70.106.13,80,80,false,NRT,Asia Pacific,Tokyo,103,11.51
141.147.179.64,2053,2053,true,NRT,Asia Pacific,Tokyo,136,11.50
150.230.196.73,2095,2095,false,NRT,Asia Pacific,Tokyo,78,11.50
158.179.182.19,2086,2086,false,NRT,Asia Pacific,Tokyo,98,11.48
168.138.207.64,2095,2095,false,NRT,Asia Pacific,Tokyo,80,11.48
138.3.222.204,2096,2096,true,NRT,Asia Pacific,Tokyo,104,11.48
150.230.207.53,2052,2052,false,NRT,Asia Pacific,Tokyo,100,11.46
158.179.190.253,8080,8080,false,NRT,Asia Pacific,Tokyo,108,11.46
141.144.192.247,443,443,true,FRA,Europe,Frankfurt,175,11.46
158.101.189.36,443,443,true,FRA,Europe,Frankfurt,189,11.45
168.138.196.237,2086,2086,false,NRT,Asia Pacific,Tokyo,103,11.45
141.147.16.152,8443,443,true,FRA,Europe,Frankfurt,179,11.45
141.147.191.211,2095,2095,false,NRT,Asia Pacific,Tokyo,98,11.43
138.2.177.48,443,443,true,FRA,Europe,Frankfurt,166,11.42
168.138.200.159,2086,2086,false,NRT,Asia Pacific,Tokyo,100,11.41
141.144.204.105,443,443,true,FRA,Europe,Frankfurt,171,11.41
138.2.175.238,443,443,true,FRA,Europe,Frankfurt,165,11.41
141.147.169.195,8443,8443,true,NRT,Asia Pacific,Tokyo,81,11.41
151.145.66.219,2095,2095,false,NRT,Asia Pacific,Tokyo,108,11.39
141.147.168.159,80,80,false,NRT,Asia Pacific,Tokyo,99,11.38
168.138.211.188,2087,2087,true,HKG,Asia Pacific,Hong Kong,165,11.37
144.24.169.81,2053,443,true,FRA,Europe,Frankfurt,167,11.36
150.230.222.185,2052,2052,false,NRT,Asia Pacific,Tokyo,101,11.35
140.83.38.243,8080,8080,false,NRT,Asia Pacific,Tokyo,101,11.34
151.145.71.40,2083,2083,true,NRT,Asia Pacific,Tokyo,105,11.34
138.3.223.70,2053,2053,true,NRT,Asia Pacific,Tokyo,88,11.34
158.179.188.175,8080,8080,false,NRT,Asia Pacific,Tokyo,104,11.34
140.238.54.164,2053,2053,true,NRT,Asia Pacific,Tokyo,103,11.33
168.138.198.202,8080,8080,false,NRT,Asia Pacific,Tokyo,98,11.33
141.148.242.14,443,443,true,FRA,Europe,Frankfurt,172,11.33
168.138.212.175,2095,2095,false,NRT,Asia Pacific,Tokyo,99,11.33
143.47.176.201,443,0,true,FRA,Europe,Frankfurt,184,11.32
168.138.212.184,2095,2095,false,NRT,Asia Pacific,Tokyo,84,11.32
138.3.223.50,2053,2053,true,NRT,Asia Pacific,Tokyo,77,11.31
141.144.196.132,443,443,true,FRA,Europe,Frankfurt,173,11.29
150.230.212.213,8443,8443,true,NRT,Asia Pacific,Tokyo,109,11.28
158.179.176.239,2083,2083,true,NRT,Asia Pacific,Tokyo,162,11.28
141.147.175.230,2052,2052,false,NRT,Asia Pacific,Tokyo,75,11.27
84.235.163.142,443,443,true,FRA,Europe,Frankfurt,192,11.27
150.230.199.118,2083,2083,true,NRT,Asia Pacific,Tokyo,107,11.27
152.70.111.251,80,80,false,NRT,Asia Pacific,Tokyo,101,11.26
141.147.167.40,2086,2086,false,NRT,Asia Pacific,Tokyo,98,11.26
141.147.181.148,2086,2086,false,NRT,Asia Pacific,Tokyo,81,11.26
140.83.36.42,2082,2082,false,NRT,Asia Pacific,Tokyo,116,11.25
138.3.223.50,8880,8880,false,NRT,Asia Pacific,Tokyo,112,11.25
141.147.113.134,443,443,true,FRA,Europe,Frankfurt,175,11.24
141.148.232.175,443,443,true,FRA,Europe,Frankfurt,179,11.21
141.147.42.68,443,443,true,FRA,Europe,Frankfurt,168,11.20
150.230.214.218,8080,8080,false,NRT,Asia Pacific,Tokyo,98,11.20
144.21.59.217,443,443,true,FRA,Europe,Frankfurt,188,11.19
150.230.201.162,8880,8880,false,NRT,Asia Pacific,Tokyo,107,11.18
168.138.206.68,2053,2053,true,NRT,Asia Pacific,Tokyo,117,11.16
141.147.191.132,2052,2052,false,NRT,Asia Pacific,Tokyo,98,11.16
144.21.32.193,2087,0,true,AMS,Europe,Amsterdam,174,11.15
144.24.175.43,443,443,true,FRA,Europe,Frankfurt,176,11.15
152.70.99.187,2053,2053,true,NRT,Asia Pacific,Tokyo,154,11.15
168.138.213.210,2082,2082,false,NRT,Asia Pacific,Tokyo,102,11.15
150.230.212.213,2083,2083,true,NRT,Asia Pacific,Tokyo,92,11.13
138.3.211.101,8443,8443,true,NRT,Asia Pacific,Tokyo,111,11.13
140.83.36.42,8880,8880,false,NRT,Asia Pacific,Tokyo,75,11.12
141.144.199.110,443,443,true,FRA,Europe,Frankfurt,174,11.11
152.70.111.251,2083,2083,true,NRT,Asia Pacific,Tokyo,104,11.10
158.179.182.19,8443,8443,true,NRT,Asia Pacific,Tokyo,101,11.10
168.138.205.38,8080,8080,false,NRT,Asia Pacific,Tokyo,97,11.10
168.138.214.62,2086,2086,false,NRT,Asia Pacific,Tokyo,107,11.10
168.138.196.237,2052,2052,false,NRT,Asia Pacific,Tokyo,77,11.10
150.230.216.117,2052,2052,false,NRT,Asia Pacific,Tokyo,101,11.09
168.138.198.202,8080,8080,false,NRT,Asia Pacific,Tokyo,104,11.09
129.153.119.97,443,443,true,LAX,North America,Los Angeles,180,11.08
150.230.202.132,2096,2096,true,NRT,Asia Pacific,Tokyo,109,11.07
168.138.217.146,2052,2052,false,NRT,Asia Pacific,Tokyo,104,11.06
141.147.174.190,2052,2052,false,NRT,Asia Pacific,Tokyo,108,11.06
150.230.118.153,443,443,true,FRA,Europe,Frankfurt,198,11.03
152.70.106.13,8080,8080,false,NRT,Asia Pacific,Tokyo,100,11.03
138.3.217.39,8080,8080,false,NRT,Asia Pacific,Tokyo,108,11.03
150.230.201.39,2052,2052,false,NRT,Asia Pacific,Tokyo,99,11.03
141.147.168.159,8443,8443,true,NRT,Asia Pacific,Tokyo,84,11.02
141.147.186.210,8880,8880,false,NRT,Asia Pacific,Tokyo,99,11.02
140.83.36.42,80,80,false,NRT,Asia Pacific,Tokyo,114,11.01
141.147.189.242,2095,2095,false,NRT,Asia Pacific,Tokyo,81,11.00
129.146.46.164,443,443,true,LAX,North America,Los Angeles,183,11.00
168.138.208.17,2052,2052,false,NRT,Asia Pacific,Tokyo,101,11.00
141.147.93.16,443,443,true,FRA,Europe,Frankfurt,187,10.99
144.24.85.158,80,80,false,ICN,Asia Pacific,Seoul,100,10.98
144.24.186.228,443,443,true,FRA,Europe,Frankfurt,177,10.98
168.138.205.38,8880,8880,false,NRT,Asia Pacific,Tokyo,101,10.97
150.230.221.114,2096,2096,true,NRT,Asia Pacific,Tokyo,134,10.97
150.230.151.118,443,443,true,FRA,Europe,Frankfurt,180,10.96
141.147.189.242,80,80,false,NRT,Asia Pacific,Tokyo,79,10.96
141.147.27.248,443,443,true,FRA,Europe,Frankfurt,200,10.95
152.70.107.26,2052,2052,false,NRT,Asia Pacific,Tokyo,75,10.95
150.230.212.213,2053,2053,true,NRT,Asia Pacific,Tokyo,102,10.95
150.230.199.118,2095,2095,false,NRT,Asia Pacific,Tokyo,86,10.95
143.47.234.244,443,443,true,FRA,Europe,Frankfurt,182,10.93
168.138.211.131,2052,2052,false,NRT,Asia Pacific,Tokyo,104,10.92
150.230.208.113,8080,8080,false,NRT,Asia Pacific,Tokyo,79,10.92
141.147.178.115,2096,2096,true,NRT,Asia Pacific,Tokyo,103,10.90
158.179.189.106,2083,2083,true,NRT,Asia Pacific,Tokyo,108,10.90
140.238.52.81,8443,8443,true,NRT,Asia Pacific,Tokyo,99,10.90
151.145.65.8,2083,2083,true,NRT,Asia Pacific,Tokyo,106,10.89
138.3.216.67,2096,2096,true,NRT,Asia Pacific,Tokyo,102,10.88
152.70.111.251,2053,2053,true,NRT,Asia Pacific,Tokyo,79,10.88
141.144.241.24,443,443,true,FRA,Europe,Frankfurt,165,10.88
158.179.189.106,2052,2052,false,NRT,Asia Pacific,Tokyo,81,10.87
158.101.193.57,443,443,true,FRA,Europe,Frankfurt,158,10.87
168.138.207.64,2087,2087,true,NRT,Asia Pacific,Tokyo,103,10.86
168.138.206.109,80,80,false,NRT,Asia Pacific,Tokyo,108,10.86
150.230.202.232,2083,2083,true,NRT,Asia Pacific,Tokyo,82,10.86
168.138.212.184,2087,2087,true,NRT,Asia Pacific,Tokyo,144,10.86
168.138.202.145,8443,8443,true,NRT,Asia Pacific,Tokyo,78,10.86
158.179.186.234,2087,2087,true,NRT,Asia Pacific,Tokyo,98,10.86
150.230.207.53,8443,8443,true,NRT,Asia Pacific,Tokyo,82,10.85
138.3.223.50,2082,2082,false,NRT,Asia Pacific,Tokyo,100,10.84
150.230.205.56,8080,8080,false,NRT,Asia Pacific,Tokyo,99,10.84
150.230.220.232,2087,2087,true,NRT,Asia Pacific,Tokyo,111,10.84
150.230.216.34,2083,2083,true,NRT,Asia Pacific,Tokyo,122,10.84
141.147.167.40,80,80,false,NRT,Asia Pacific,Tokyo,101,10.83
140.238.59.255,2096,2096,true,NRT,Asia Pacific,Tokyo,110,10.83
158.178.156.98,443,443,true,FRA,Europe,Frankfurt,180,10.83
141.148.246.33,443,443,true,FRA,Europe,Frankfurt,185,10.83
158.178.153.20,443,443,true,FRA,Europe,Frankfurt,172,10.83
141.144.196.230,443,443,true,FRA,Europe,Frankfurt,179,10.82
138.2.180.238,443,443,true,FRA,Europe,Frankfurt,199,10.82
141.144.226.206,443,443,true,FRA,Europe,Frankfurt,176,10.82
168.138.206.68,80,80,false,NRT,Asia Pacific,Tokyo,100,10.82
150.230.201.162,8443,8443,true,NRT,Asia Pacific,Tokyo,103,10.81
140.83.34.230,80,80,false,NRT,Asia Pacific,Tokyo,79,10.80
150.230.219.168,2096,2096,true,NRT,Asia Pacific,Tokyo,109,10.79
151.145.71.127,2053,2053,true,NRT,Asia Pacific,Tokyo,75,10.79
150.230.204.117,8880,8880,false,NRT,Asia Pacific,Tokyo,78,10.79
193.122.13.124,443,443,true,FRA,Europe,Frankfurt,167,10.78
150.230.219.83,2086,2086,false,NRT,Asia Pacific,Tokyo,108,10.77
158.101.206.70,8443,443,true,AMS,Europe,Amsterdam,178,10.76
140.238.62.12,8443,8443,true,NRT,Asia Pacific,Tokyo,98,10.76
168.138.206.109,8080,8080,false,NRT,Asia Pacific,Tokyo,99,10.75
168.138.194.121,2095,2095,false,NRT,Asia Pacific,Tokyo,104,10.75
150.230.216.117,2096,2096,true,NRT,Asia Pacific,Tokyo,137,10.75
168.138.197.222,2053,2053,true,NRT,Asia Pacific,Tokyo,78,10.75
150.230.125.145,443,443,true,FRA,Europe,Frankfurt,183,10.74
158.178.150.165,443,443,true,FRA,Europe,Frankfurt,183,10.74
151.145.66.219,2052,2052,false,NRT,Asia Pacific,Tokyo,101,10.74
141.147.174.7,2052,2052,false,NRT,Asia Pacific,Tokyo,77,10.74
152.70.161.193,443,443,true,FRA,Europe,Frankfurt,201,10.74
168.138.202.145,8880,8880,false,NRT,Asia Pacific,Tokyo,99,10.73
141.147.166.189,80,80,false,NRT,Asia Pacific,Tokyo,100,10.73
130.162.246.227,443,443,true,FRA,Europe,Frankfurt,165,10.72
168.138.200.155,2095,2095,false,NRT,Asia Pacific,Tokyo,97,10.72
141.147.169.131,2086,2086,false,NRT,Asia Pacific,Tokyo,100,10.72
150.230.118.108,443,443,true,FRA,Europe,Frankfurt,185,10.71
168.138.212.74,8080,8080,false,NRT,Asia Pacific,Tokyo,78,10.71
130.162.216.102,443,443,true,FRA,Europe,Frankfurt,217,10.71
141.147.6.118,443,443,true,FRA,Europe,Frankfurt,170,10.71
140.238.62.12,2096,2096,true,NRT,Asia Pacific,Tokyo,112,10.70
138.2.170.123,443,443,true,FRA,Europe,Frankfurt,169,10.70
143.47.190.60,443,443,true,EWR,North America,Newark,211,10.69
158.179.183.2,8880,8880,false,NRT,Asia Pacific,Tokyo,81,10.69
141.147.186.210,2086,2086,false,NRT,Asia Pacific,Tokyo,105,10.68
158.179.189.106,8443,8443,true,NRT,Asia Pacific,Tokyo,103,10.67
150.230.212.87,2052,2052,false,NRT,Asia Pacific,Tokyo,98,10.67
152.70.106.195,2082,2082,false,NRT,Asia Pacific,Tokyo,99,10.67
152.70.106.195,2096,2096,true,NRT,Asia Pacific,Tokyo,116,10.66
141.144.227.233,443,443,true,FRA,Europe,Frankfurt,168,10.66
141.147.108.42,443,443,true,FRA,Europe,Frankfurt,185,10.65
140.83.34.230,2082,2082,false,NRT,Asia Pacific,Tokyo,99,10.65
141.147.189.242,2096,2096,true,NRT,Asia Pacific,Tokyo,158,10.65
152.70.98.174,2096,2096,true,NRT,Asia Pacific,Tokyo,100,10.64
141.148.228.184,443,443,true,FRA,Europe,Frankfurt,238,10.63
150.230.212.87,8443,8443,true,NRT,Asia Pacific,Tokyo,106,10.63
138.3.216.67,2083,2083,true,NRT,Asia Pacific,Tokyo,104,10.63
150.230.216.117,2082,2082,false,NRT,Asia Pacific,Tokyo,100,10.63
158.178.144.108,443,443,true,FRA,Europe,Frankfurt,280,10.62
150.230.222.185,80,80,false,NRT,Asia Pacific,Tokyo,99,10.62
158.179.176.239,80,80,false,NRT,Asia Pacific,Tokyo,99,10.62
138.3.212.226,2083,2083,true,NRT,Asia Pacific,Tokyo,110,10.60
168.138.214.62,2096,2096,true,NRT,Asia Pacific,Tokyo,107,10.59
141.147.168.13,2096,2096,true,NRT,Asia Pacific,Tokyo,103,10.59
130.162.254.74,443,443,true,FRA,Europe,Frankfurt,182,10.58
150.230.213.95,2095,2095,false,NRT,Asia Pacific,Tokyo,76,10.57
151.145.71.127,2096,2096,true,NRT,Asia Pacific,Tokyo,106,10.57
168.138.196.237,2082,2082,false,NRT,Asia Pacific,Tokyo,98,10.57
141.144.204.19,443,443,true,FRA,Europe,Frankfurt,201,10.57
152.70.107.26,8080,8080,false,NRT,Asia Pacific,Tokyo,77,10.57
168.138.197.222,2052,2052,false,NRT,Asia Pacific,Tokyo,78,10.56
150.230.216.117,2083,2083,true,NRT,Asia Pacific,Tokyo,101,10.56
89.168.82.61,443,443,true,FRA,Europe,Frankfurt,231,10.55
141.148.229.98,443,443,true,FRA,Europe,Frankfurt,171,10.52
141.147.168.13,2053,2053,true,NRT,Asia Pacific,Tokyo,80,10.51
158.179.188.159,2053,2053,true,NRT,Asia Pacific,Tokyo,80,10.51
168.138.206.236,2086,2086,false,NRT,Asia Pacific,Tokyo,100,10.50
144.24.169.81,8443,443,true,FRA,Europe,Frankfurt,176,10.50
140.83.36.42,2095,2095,false,NRT,Asia Pacific,Tokyo,106,10.50
84.235.169.43,443,443,true,FRA,Europe,Frankfurt,173,10.49
158.179.188.175,2082,2082,false,NRT,Asia Pacific,Tokyo,100,10.49
150.230.219.83,2095,2095,false,NRT,Asia Pacific,Tokyo,78,10.49
141.147.183.96,2095,2095,false,NRT,Asia Pacific,Tokyo,101,10.48
141.147.109.113,443,443,true,FRA,Europe,Frankfurt,189,10.47
168.138.209.84,2083,2083,true,NRT,Asia Pacific,Tokyo,97,10.47
140.238.60.71,2083,2083,true,NRT,Asia Pacific,Tokyo,102,10.47
168.138.194.121,2082,2082,false,NRT,Asia Pacific,Tokyo,100,10.47
168.138.205.195,2052,2052,false,NRT,Asia Pacific,Tokyo,108,10.46
129.146.247.85,2053,443,true,LAX,North America,Los Angeles,176,10.45
138.3.214.43,2087,2087,true,NRT,Asia Pacific,Tokyo,100,10.44
141.147.174.7,8880,8880,false,NRT,Asia Pacific,Tokyo,109,10.44
141.147.167.40,8080,8080,false,NRT,Asia Pacific,Tokyo,98,10.44
150.230.202.132,2087,2087,true,NRT,Asia Pacific,Tokyo,103,10.44
168.138.198.53,2053,2053,true,NRT,Asia Pacific,Tokyo,124,10.43
168.138.212.40,2087,2087,true,NRT,Asia Pacific,Tokyo,116,10.43
130.162.229.42,2053,443,true,FRA,Europe,Frankfurt,188,10.43
151.145.71.127,2083,2083,true,NRT,Asia Pacific,Tokyo,78,10.42
168.138.207.64,2083,2083,true,NRT,Asia Pacific,Tokyo,103,10.42
141.144.194.4,443,443,true,FRA,Europe,Frankfurt,171,10.42
150.230.208.83,2095,2095,false,NRT,Asia Pacific,Tokyo,105,10.41
141.147.96.195,443,443,true,FRA,Europe,Frankfurt,175,10.41
150.230.216.117,2086,2086,false,NRT,Asia Pacific,Tokyo,101,10.41
168.138.209.84,2095,2095,false,NRT,Asia Pacific,Tokyo,101,10.41
151.145.65.8,2052,2052,false,NRT,Asia Pacific,Tokyo,102,10.40
141.147.168.13,2052,2052,false,NRT,Asia Pacific,Tokyo,109,10.40
150.230.220.232,2095,2095,false,NRT,Asia Pacific,Tokyo,76,10.40
168.138.212.74,2052,2052,false,NRT,Asia Pacific,Tokyo,98,10.39
150.230.208.113,8880,8880,false,NRT,Asia Pacific,Tokyo,83,10.39
141.147.189.242,2082,2082,false,NRT,Asia Pacific,Tokyo,102,10.39
152.70.99.187,8443,8443,true,NRT,Asia Pacific,Tokyo,105,10.38
168.138.212.74,2082,2082,false,NRT,Asia Pacific,Tokyo,78,10.38
150.230.205.56,2083,2083,true,NRT,Asia Pacific,Tokyo,102,10.37
152.70.107.26,2083,2083,true,NRT,Asia Pacific,Tokyo,112,10.37
141.147.85.122,443,443,true,FRA,Europe,Frankfurt,176,10.37
158.179.190.253,8880,8880,false,NRT,Asia Pacific,Tokyo,97,10.36
150.230.125.229,443,443,true,FRA,Europe,Frankfurt,197,10.36
168.138.209.244,2086,2086,false,NRT,Asia Pacific,Tokyo,116,10.35
168.138.207.64,2083,2083,true,NRT,Asia Pacific,Tokyo,102,10.35
141.147.168.159,8080,8080,false,NRT,Asia Pacific,Tokyo,105,10.35
141.147.168.13,8080,8080,false,NRT,Asia Pacific,Tokyo,99,10.34
89.168.112.9,443,0,true,FRA,Europe,Frankfurt,178,10.34
140.238.33.94,2087,2087,true,NRT,Asia Pacific,Tokyo,101,10.32
150.230.151.118,443,443,true,FRA,Europe,Frankfurt,153,10.32
141.144.201.222,443,443,true,FRA,Europe,Frankfurt,171,10.31
168.138.206.68,8880,8880,false,NRT,Asia Pacific,Tokyo,76,10.31
151.145.70.28,2087,2087,true,NRT,Asia Pacific,Tokyo,104,10.30
168.138.205.38,2086,2086,false,NRT,Asia Pacific,Tokyo,103,10.30
141.147.92.143,443,443,true,LHR,Europe,London,170,10.29
150.230.212.87,2096,2096,true,NRT,Asia Pacific,Tokyo,110,10.29
158.179.176.239,2095,2095,false,NRT,Asia Pacific,Tokyo,100,10.29
151.145.65.203,2083,2083,true,NRT,Asia Pacific,Tokyo,103,10.28
150.230.192.173,2086,2086,false,NRT,Asia Pacific,Tokyo,102,10.28
150.230.208.113,8443,8443,true,NRT,Asia Pacific,Tokyo,105,10.28
152.70.106.21,2053,2053,true,NRT,Asia Pacific,Tokyo,102,10.27
152.70.166.101,443,443,true,FRA,Europe,Frankfurt,191,10.26
130.162.59.15,443,443,true,FRA,Europe,Frankfurt,208,10.25
150.230.221.114,2052,2052,false,NRT,Asia Pacific,Tokyo,102,10.25
168.138.196.237,8080,8080,false,NRT,Asia Pacific,Tokyo,107,10.24
158.179.186.234,2096,2096,true,NRT,Asia Pacific,Tokyo,139,10.24
150.230.212.87,2087,2087,true,NRT,Asia Pacific,Tokyo,95,10.23
141.148.225.227,443,443,true,FRA,Europe,Frankfurt,185,10.23
152.70.166.117,443,443,true,FRA,Europe,Frankfurt,166,10.22
168.138.196.237,80,80,false,NRT,Asia Pacific,Tokyo,84,10.22
141.147.80.47,443,443,true,FRA,Europe,Frankfurt,178,10.22
141.144.197.156,443,443,true,FRA,Europe,Frankfurt,185,10.21
141.147.175.230,2053,2053,true,NRT,Asia Pacific,Tokyo,128,10.21
141.147.94.22,443,443,true,FRA,Europe,Frankfurt,194,10.20
150.230.216.117,8443,8443,true,NRT,Asia Pacific,Tokyo,130,10.20
150.230.212.213,2082,2082,false,NRT,Asia Pacific,Tokyo,102,10.19
143.47.179.54,443,443,true,FRA,Europe,Frankfurt,171,10.17
150.230.216.117,2087,2087,true,NRT,Asia Pacific,Tokyo,105,10.16
138.3.217.39,80,80,false,NRT,Asia Pacific,Tokyo,77,10.16
141.147.118.234,443,443,true,FRA,Europe,Frankfurt,220,10.16
158.101.206.70,2053,443,true,AMS,Europe,Amsterdam,168,10.16
150.230.213.95,8080,8080,false,NRT,Asia Pacific,Tokyo,111,10.15
138.3.212.144,8443,8443,true,NRT,Asia Pacific,Tokyo,104,10.15
152.70.166.73,443,443,true,FRA,Europe,Frankfurt,189,10.14
168.138.194.121,2053,2053,true,NRT,Asia Pacific,Tokyo,130,10.13
152.70.99.187,2083,2083,true,NRT,Asia Pacific,Tokyo,97,10.12
152.70.106.195,8443,8443,true,NRT,Asia Pacific,Tokyo,100,10.12
158.179.189.235,2053,2053,true,NRT,Asia Pacific,Tokyo,104,10.12
168.138.212.184,8880,8880,false,NRT,Asia Pacific,Tokyo,98,10.11
152.70.111.251,8080,8080,false,NRT,Asia Pacific,Tokyo,100,10.10
150.230.193.89,2082,2082,false,NRT,Asia Pacific,Tokyo,104,10.10
168.138.196.164,2053,2053,true,HKG,Asia Pacific,Hong Kong,172,10.10
168.138.194.121,80,80,false,NRT,Asia Pacific,Tokyo,85,10.10
141.147.189.242,2086,2086,false,NRT,Asia Pacific,Tokyo,99,10.09
138.3.211.101,2083,2083,true,NRT,Asia Pacific,Tokyo,83,10.09
143.47.241.247,443,443,true,FRA,Europe,Frankfurt,190,10.09
141.147.183.96,2053,2053,true,NRT,Asia Pacific,Tokyo,107,10.09
141.144.204.59,443,443,true,FRA,Europe,Frankfurt,194,10.09
152.70.107.26,2096,2096,true,NRT,Asia Pacific,Tokyo,105,10.08
152.70.104.69,2053,2053,true,NRT,Asia Pacific,Tokyo,100,10.08
138.2.157.236,443,443,true,FRA,Europe,Frankfurt,186,10.07
151.145.71.40,2053,2053,true,NRT,Asia Pacific,Tokyo,114,10.07
168.138.205.38,80,80,false,NRT,Asia Pacific,Tokyo,100,10.07
150.230.213.95,2083,2083,true,NRT,Asia Pacific,Tokyo,120,10.05
138.3.223.70,8880,8880,false,NRT,Asia Pacific,Tokyo,75,10.05
138.3.222.204,2086,2086,false,NRT,Asia Pacific,Tokyo,100,10.05
158.179.183.2,2083,2083,true,NRT,Asia Pacific,Tokyo,101,10.05
168.138.206.68,2096,2096,true,NRT,Asia Pacific,Tokyo,116,10.03
143.47.250.166,443,443,true,FRA,Europe,Frankfurt,175,10.03
168.138.205.38,2083,2083,true,NRT,Asia Pacific,Tokyo,87,10.03
168.138.200.159,2082,2082,false,NRT,Asia Pacific,Tokyo,88,10.03
141.147.166.189,2095,2095,false,NRT,Asia Pacific,Tokyo,75,10.03
141.147.167.40,8443,8443,true,NRT,Asia Pacific,Tokyo,114,10.02
158.179.206.143,80,80,false,ARN,Europe,Stockholm,203,10.02
168.138.205.195,2052,2052,false,NRT,Asia Pacific,Tokyo,93,10.02
141.147.183.96,8080,8080,false,NRT,Asia Pacific,Tokyo,99,10.02
89.168.117.147,443,443,true,FRA,Europe,Frankfurt,168,10.01
158.179.186.251,2083,2083,true,NRT,Asia Pacific,Tokyo,78,10.01
151.145.69.174,2086,2086,false,NRT,Asia Pacific,Tokyo,103,10.00
168.138.200.155,8443,8443,true,NRT,Asia Pacific,Tokyo,79,10.00
158.179.190.253,8443,8443,true,NRT,Asia Pacific,Tokyo,98,10.00
168.138.198.202,2095,2095,false,NRT,Asia Pacific,Tokyo,108,10.00
158.179.186.234,2083,2083,true,NRT,Asia Pacific,Tokyo,154,10.00
151.145.69.174,2096,2096,true,NRT,Asia Pacific,Tokyo,100,9.99
158.179.178.142,2083,2083,true,NRT,Asia Pacific,Tokyo,78,9.99
152.70.106.185,2083,2083,true,NRT,Asia Pacific,Tokyo,92,9.99
152.70.103.145,2083,2083,true,NRT,Asia Pacific,Tokyo,102,9.99
150.230.205.56,2095,2095,false,NRT,Asia Pacific,Tokyo,98,9.98
168.138.198.202,2053,2053,true,NRT,Asia Pacific,Tokyo,83,9.96
144.24.175.84,443,443,true,FRA,Europe,Frankfurt,175,9.96
141.147.178.115,2087,2087,true,NRT,Asia Pacific,Tokyo,100,9.96
140.83.37.200,8080,8080,false,NRT,Asia Pacific,Tokyo,107,9.96
152.70.106.21,8880,8880,false,NRT,Asia Pacific,Tokyo,102,9.94
168.138.200.159,2086,2086,false,NRT,Asia Pacific,Tokyo,97,9.94
168.138.205.195,2096,2096,true,NRT,Asia Pacific,Tokyo,100,9.94
168.138.200.155,8443,8443,true,NRT,Asia Pacific,Tokyo,106,9.93
152.70.107.26,2087,2087,true,NRT,Asia Pacific,Tokyo,118,9.93
